photo_id,bucket,confidence,vision_brand,vision_line,cf_top_slug,cf_brand,cf_line,brand_agree,expected_slug
band-0161d19ab3a8.jpg,ambiguous,0.632,LA AROMA DE CUBA,,pdr-el-trovador-maduro-robusto,PDR,El Trovador Maduro Robusto,brand-DIFF,pdr-el-trovador-maduro-robusto
band-01a76517bea0.jpg,auto-match,0.99,God of Fire,Double Robusto,angelenos-by-god-of-fire-double-robusto,God of Fire,Double,brand-agree,angelenos-by-god-of-fire-double-robusto
band-01cf1b076898.jpg,ambiguous,0.771,HIT RUN,,gurkha-park-avenue,Gurkha,Park Avenue,brand-DIFF,gurkha-park-avenue
band-01db8aecfbe8.jpg,auto-match,0.99,CAO,BRAZILIA BOX-PRESS,cao-brazilia,CAO,Brazilia,brand-agree,cao-brazilia
band-02c5edd09590.jpg,ambiguous,0.673,MIXTEC,,cao-arcana-stokk-belicoso,CAO,Arcana Stokk,brand-DIFF,cao-arcana-stokk-belicoso
band-0301b034dec8.jpg,auto-match,0.99,DIAMOND CROWN,JULIUS CAESER,diamond-crown-julius-caeser,Diamond Crown,Julius Caeser,brand-agree,diamond-crown-julius-caeser
band-03070e9d9249.jpg,ambiguous,0.842,Rocky Patel,Vintage 1990,rocky-patel-vintage-1990,Rocky Patel,Vintage 1990,brand-agree,rocky-patel-vintage-1990
band-03592a1a0d2f.jpg,auto-match,0.99,Dunbarton Tobacco & Trust,Sin Compromiso,dunbarton-tobacco-trust-sin-compromiso,Dunbarton Tobacco & Trust,Sin Compromiso,brand-agree,dunbarton-tobacco-trust-sin-compromiso
band-068dd44ca959.jpg,auto-match,0.98,Highclere Castle,,highclere-castle-senetjer-perfecto,Highclere Castle,Senetjer Perfecto,brand-agree,highclere-castle-senetjer-perfecto
band-06aea6f31f18.jpg,auto-match,0.99,Drew Estate,Factory Smoke,drew-estate-factory-smokes,Drew Estate,Factory Smokes,brand-agree,drew-estate-factory-smokes
band-0722dcd121c1.jpg,auto-match,0.953,SEMILLA CUBANA,BUENAVENTURA,curivari-buenaventura,Curivari,Buenaventura,brand-DIFF,curivari-buenaventura
band-077d89a92cb5.jpg,auto-match,0.99,Montecristo,White Series,montecristo-white-series-belicoso,Montecristo,White Series,brand-agree,montecristo-white-series-belicoso
band-091c38586d27.jpg,auto-match,0.99,COHIBA,CONNECTICUT,cohiba-connecticut-toro-6-5-52,Cohiba,Connecticut,brand-agree,cohiba-connecticut-toro-6-5-52
band-0968bfaa9fa2.jpg,auto-match,0.99,CINCO DE MAYO,Limited Edition 2025,camacho-limited-edition-2025,Camacho,Limited Edition 2025,brand-DIFF,camacho-limited-edition-2025
band-0aab938c7809.jpg,auto-match,0.98,My Father,Fonseca,my-father-belicoso,My Father,My Father,brand-agree,my-father-belicoso
band-0b13f2a5880e.jpg,auto-match,0.99,PLASENCIA,COSECHA 149,plasencia-cosecha-149,Plasencia,Cosecha 149,brand-agree,plasencia-cosecha-149
band-0beb437bd536.jpg,auto-match,0.99,Romeo y Julieta,Medallas de Oro Connecticut Nicaragua,romeo-y-julieta-medallas-de-oro,Romeo y Julieta,Medallas De Oro,brand-agree,romeo-y-julieta-medallas-de-oro
band-0bee53e7ac80.jpg,auto-match,0.99,Joya de Nicaragua,Antaño CT,joya-de-nicaragua-antano,Joya de Nicaragua,Antano,brand-agree,joya-de-nicaragua-antano
band-0c03642cd3c1.jpg,auto-match,0.99,Alfonso,Gran Seleccion,alfonso-gran-seleccion,Alfonso,Gran Seleccion,brand-agree,alfonso-gran-seleccion
band-0c9ce5dc0bcb.jpg,auto-match,0.99,Padron,1964 Anniversary Series,padron-1964-anni-belicoso,Padrón,1964 Anni.,brand-DIFF,padron-1964-anni-belicoso
band-0edf38af4860.jpg,auto-match,0.99,THE TABERNACLE,HAVANA SEED CT,the-tabernacle-havana-seed-ct-142,The Tabernacle,Havana Seed CT 142,brand-agree,the-tabernacle-havana-seed-ct-142
band-0f06766f1344.jpg,auto-match,0.98,Island Jim,,island-jim,Island Jim,Original,brand-agree,island-jim
band-0f22b73873b2.jpg,auto-match,0.99,Arturo Fuente,Don Carlos,arturo-fuente-don-carlos,Arturo Fuente,Don Carlos,brand-agree,arturo-fuente-don-carlos
band-0f85c04d7503.jpg,auto-match,0.98,Oliva,Master Blends 3,oliva-gilberto-oliva-reserva,Oliva,Gilberto Oliva Reserva,brand-agree,oliva-gilberto-oliva-reserva
band-0fa61e90d3a0.jpg,auto-match,0.98,Dirty Rat,,liga-privada-unico-dirty-rat,Drew Estate,Liga Privada Unico Dirty Rat,brand-DIFF,liga-privada-unico-dirty-rat
band-1057ffd512e1.jpg,ambiguous,0.742,BUENAVENTURA,,curivari-buenaventura,Curivari,Buenaventura,brand-DIFF,curivari-buenaventura
band-105e88cfd766.jpg,auto-match,0.99,PERDOMO,10TH ANNIVERSARY SUN GROWN,perdomo-10th-anniversary-sun-grown,Perdomo,10th Anniversary Sun Grown,brand-agree,perdomo-10th-anniversary-sun-grown
band-10d30233f697.jpg,auto-match,0.99,PLASENCIA,ALMA FUERTE,plasencia-alma-fuerte,Plasencia,Alma Fuerte,brand-agree,plasencia-alma-fuerte
band-10f7580ee74a.jpg,auto-match,0.99,AGANORSA LEAF,SUPREME LEAF,aganorsa-leaf-supreme-leaf-toro,Aganorsa Leaf,Supreme Leaf,brand-agree,aganorsa-leaf-supreme-leaf-toro
band-113954e4f825.jpg,auto-match,0.98,Tatuaje,,tatuaje-cabaiguan,Tatuaje,Cabaiguan,brand-agree,tatuaje-cabaiguan
band-11995d8b7b90.jpg,auto-match,0.99,Montecristo,White Series,montecristo-white-series-belicoso,Montecristo,White Series,brand-agree,montecristo-white-series-belicoso
band-11bcfa9616b7.jpg,ambiguous,0.706,THE TEXAN,,fratello-the-texan,Fratello,The Texan,brand-DIFF,fratello-the-texan
band-1360d6d747ee.jpg,auto-match,0.98,Tatuaje,,tatuaje-cabaiguan,Tatuaje,Cabaiguan,brand-agree,tatuaje-cabaiguan
band-151903d0f8e4.jpg,auto-match,0.99,Arturo Fuente,Gran Reserva,arturo-fuente-gran-reserva-rothschild-natural,Arturo Fuente,Gran Reserva Rothschild Natural,brand-agree,arturo-fuente-gran-reserva-rothschild-natural
band-159b91c8dbe9.jpg,auto-match,0.861,LA FABRICA,,caribe-deluxe,Caribe,Deluxe,brand-DIFF,caribe-deluxe
