photo_id,bucket,confidence,cf_top_slug,cf_brand,cf_line,vision_brand,vision_line,prior_brand,prior_line,prior_vitola,prior_notes,flag,expected_slug
band-0161d19ab3a8.jpg,ambiguous,0.632,pdr-el-trovador-maduro-robusto,PDR,El Trovador Maduro Robusto,LA AROMA DE CUBA,,La Aroma de Cuba,Classic,Robusto,Classic woman portrait band with gold/red details.,CHECK,pdr-el-trovador-maduro-robusto
band-01a76517bea0.jpg,auto-match,0.99,angelenos-by-god-of-fire-double-robusto,God of Fire,Double,God of Fire,Double Robusto,Arturo Fuente,God of Fire,Double Robusto,Red band with mythological figure (eagle/man); God of Fire series.,CHECK,angelenos-by-god-of-fire-double-robusto
band-01cf1b076898.jpg,ambiguous,0.771,gurkha-park-avenue,Gurkha,Park Avenue,HIT RUN,,Hit Run,Main Line,Floral,Distinctive autumn floral/leaf design with HIT RUN text.,CHECK,gurkha-park-avenue
band-01db8aecfbe8.jpg,auto-match,0.99,cao-brazilia,CAO,Brazilia,CAO,BRAZILIA BOX-PRESS,CAO,Brazilia,Box-Press,Yellow/green/blue diamond CAO logo,prior-agrees,cao-brazilia
band-02c5edd09590.jpg,ambiguous,0.673,cao-arcana-stokk-belicoso,CAO,Arcana Stokk,MIXTEC,,Illusione,Artistic / XT Series,Unknown,Stylized mask/face design with teal/orange/gold and ILLXTELL text.,CHECK,cao-arcana-stokk-belicoso
band-0301b034dec8.jpg,auto-match,0.99,diamond-crown-julius-caeser,Diamond Crown,Julius Caeser,DIAMOND CROWN,JULIUS CAESER,Diamond Crown,Julius Caesar,Unknown,Light blue band with classical portrait,prior-agrees,diamond-crown-julius-caeser
band-03070e9d9249.jpg,ambiguous,0.842,rocky-patel-vintage-1990,Rocky Patel,Vintage 1990,Rocky Patel,Vintage 1990,Rocky Patel,Vintage 1990,Unknown,Dark maroon band with ROCKY PATEL,prior-agrees,rocky-patel-vintage-1990
band-03592a1a0d2f.jpg,auto-match,0.99,dunbarton-tobacco-trust-sin-compromiso,Dunbarton Tobacco & Trust,Sin Compromiso,Dunbarton Tobacco & Trust,Sin Compromiso,Sin Compromiso,Core Line,Unknown,Brown band with ornate gold/black cross/quatrefoil logo,CHECK,dunbarton-tobacco-trust-sin-compromiso
band-068dd44ca959.jpg,auto-match,0.98,highclere-castle-senetjer-perfecto,Highclere Castle,Senetjer Perfecto,Highclere Castle,,Highclere Castle,Core,Unknown,White band with brown crown logo,prior-agrees,highclere-castle-senetjer-perfecto
band-06aea6f31f18.jpg,auto-match,0.99,drew-estate-factory-smokes,Drew Estate,Factory Smokes,Drew Estate,Factory Smoke,Factor Smoke,Drew Estate,Unknown,Black band with blue trim,CHECK,drew-estate-factory-smokes
band-0722dcd121c1.jpg,auto-match,0.953,curivari-buenaventura,Curivari,Buenaventura,SEMILLA CUBANA,BUENAVENTURA,Buenaventura,Mano a Mano,Unknown,Gold/brown band with red accent stripe,CHECK,curivari-buenaventura
band-077d89a92cb5.jpg,auto-match,0.99,montecristo-white-series-belicoso,Montecristo,White Series,Montecristo,White Series,Montecristo,White Series,Unknown,White band with red/gold MONTECRISTO WHITE SERIES,prior-agrees,montecristo-white-series-belicoso
band-091c38586d27.jpg,auto-match,0.99,cohiba-connecticut-toro-6-5-52,Cohiba,Connecticut,COHIBA,CONNECTICUT,Cohiba,Connecticut,Unknown,White/cream with red dot COHIBA,prior-agrees,cohiba-connecticut-toro-6-5-52
band-0968bfaa9fa2.jpg,auto-match,0.99,camacho-limited-edition-2025,Camacho,Limited Edition 2025,CINCO DE MAYO,Limited Edition 2025,Cinco de Mayo,Limited Edition 2025,Unknown,Colorful skull with sombrero,CHECK,camacho-limited-edition-2025
band-0aab938c7809.jpg,auto-match,0.98,my-father-belicoso,My Father,My Father,My Father,Fonseca,My Father,Fonseca,Unknown,Red/gold FF crest,prior-agrees,my-father-belicoso
band-0b13f2a5880e.jpg,auto-match,0.99,plasencia-cosecha-149,Plasencia,Cosecha 149,PLASENCIA,COSECHA 149,Plasencia,Cosecha 149,Unknown,Black/white/gold band with PLASENCIA,prior-agrees,plasencia-cosecha-149
band-0beb437bd536.jpg,auto-match,0.99,romeo-y-julieta-medallas-de-oro,Romeo y Julieta,Medallas De Oro,Romeo y Julieta,Medallas de Oro Connecticut Nicaragua,Romeo y Julieta,1875 Connecticut,Unknown,Yellow/gold band with ROMEO Y JULIETA,prior-agrees,romeo-y-julieta-medallas-de-oro
band-0bee53e7ac80.jpg,auto-match,0.99,joya-de-nicaragua-antano,Joya de Nicaragua,Antano,Joya de Nicaragua,Antaño CT,Joya de Nicaragua,Antaño CT,Unknown,Red/gold band with leaf logo,prior-agrees,joya-de-nicaragua-antano
band-0c03642cd3c1.jpg,auto-match,0.99,alfonso-gran-seleccion,Alfonso,Gran Seleccion,Alfonso,Gran Seleccion,Alfonso,Gran Selección,Unknown,Black/gold cursive Alfonso,prior-agrees,alfonso-gran-seleccion
band-0c9ce5dc0bcb.jpg,auto-match,0.99,padron-1964-anni-belicoso,Padrón,1964 Anni.,Padron,1964 Anniversary Series,Padron,1964 Anniversary Series,Unknown,Gold/burgundy band with Padrón,CHECK,padron-1964-anni-belicoso
band-0edf38af4860.jpg,auto-match,0.99,the-tabernacle-havana-seed-ct-142,The Tabernacle,Havana Seed CT 142,THE TABERNACLE,HAVANA SEED CT,The Tabernacle,Havana Seed CT,Unknown,Red/gold ornate band with bearded man in headdress.,prior-agrees,the-tabernacle-havana-seed-ct-142
band-0f06766f1344.jpg,auto-match,0.98,island-jim,Island Jim,Original,Island Jim,,Island Jim,Main Line,Unknown,Colorful cartoon bearded man with sunglasses and hat,prior-agrees,island-jim
band-0f22b73873b2.jpg,auto-match,0.99,arturo-fuente-don-carlos,Arturo Fuente,Don Carlos,Arturo Fuente,Don Carlos,God of Fire,Don Carlos 2020,Unknown,Red/gold band with mythological figure,CHECK,arturo-fuente-don-carlos
band-0f85c04d7503.jpg,auto-match,0.98,oliva-gilberto-oliva-reserva,Oliva,Gilberto Oliva Reserva,Oliva,Master Blends 3,MB3,Master Blends,Unknown,Gold/red band with MB monogram,CHECK,oliva-gilberto-oliva-reserva
band-0fa61e90d3a0.jpg,auto-match,0.98,liga-privada-unico-dirty-rat,Drew Estate,Liga Privada Unico Dirty Rat,Dirty Rat,,Rocky Patel,Signature / Core,Unknown,White band with elegant script Rocky Patel.,CHECK,liga-privada-unico-dirty-rat
band-1057ffd512e1.jpg,ambiguous,0.742,curivari-buenaventura,Curivari,Buenaventura,BUENAVENTURA,,Buenaventura,Mano a Mano,Unknown,Gold/brown band with BUENAVENTURA,CHECK,curivari-buenaventura
band-105e88cfd766.jpg,auto-match,0.99,perdomo-10th-anniversary-sun-grown,Perdomo,10th Anniversary Sun Grown,PERDOMO,10TH ANNIVERSARY SUN GROWN,Perdomo,Reserve 10th Anniversary,Unknown,Red/gold holographic band with PERDOMO,prior-agrees,perdomo-10th-anniversary-sun-grown
band-10d30233f697.jpg,auto-match,0.99,plasencia-alma-fuerte,Plasencia,Alma Fuerte,PLASENCIA,ALMA FUERTE,Plasencia,Alma Fuerte,Unknown,Green/gold band with P logo,prior-agrees,plasencia-alma-fuerte
band-10f7580ee74a.jpg,auto-match,0.99,aganorsa-leaf-supreme-leaf-toro,Aganorsa Leaf,Supreme Leaf,AGANORSA LEAF,SUPREME LEAF,Aganorsa Leaf,Supreme Leaf,Unknown,Cream/gold band with arm/leaf logo,prior-agrees,aganorsa-leaf-supreme-leaf-toro
band-113954e4f825.jpg,auto-match,0.98,tatuaje-cabaiguan,Tatuaje,Cabaiguan,Tatuaje,,Tatuaje,Core,Unknown,Black band with elegant white script Tatuaje.,prior-agrees,tatuaje-cabaiguan
band-11995d8b7b90.jpg,auto-match,0.99,montecristo-white-series-belicoso,Montecristo,White Series,Montecristo,White Series,Montecristo,White Series,Unknown,White bands with red/gold MONTECRISTO WHITE SERIES. (Duplicate),prior-agrees,montecristo-white-series-belicoso
band-11bcfa9616b7.jpg,ambiguous,0.706,fratello-the-texan,Fratello,The Texan,THE TEXAN,,The Texan,Main Line,Unknown,Red/blue/white band with THE TEXAN.,CHECK,fratello-the-texan
band-1360d6d747ee.jpg,auto-match,0.98,tatuaje-cabaiguan,Tatuaje,Cabaiguan,Tatuaje,,Tatuaje,Brown Variant,Unknown,Brown band with white script Tatuaje. (Duplicate),prior-agrees,tatuaje-cabaiguan
band-151903d0f8e4.jpg,auto-match,0.99,arturo-fuente-gran-reserva-rothschild-natural,Arturo Fuente,Gran Reserva Rothschild Natural,Arturo Fuente,Gran Reserva,Arturo Fuente,Gran Reserva,Unknown,Red/gold crest band with FUENTE,prior-agrees,arturo-fuente-gran-reserva-rothschild-natural
band-159b91c8dbe9.jpg,auto-match,0.861,caribe-deluxe,Caribe,Deluxe,LA FABRICA,,Liga Privada,Unico / Familiar,Unknown,Dark bands with LIGA PRIVADA,CHECK,caribe-deluxe
band-15d4af929132.jpg,auto-match,0.99,perdomo-10th-anniversary-sun-grown,Perdomo,10th Anniversary Sun Grown,PERDOMO,10th Anniversary Sun Grown,Perdomo,Reserve 10th Anniversary,Unknown,Red/gold holographic band. (Duplicate),prior-agrees,perdomo-10th-anniversary-sun-grown
band-16043254378c.jpg,auto-match,0.98,diamond-crown-julius-caeser-hail-caesar,Diamond Crown Julius Caeser,Hail Caesar,Diamond Crown,Julius Caesar,Diamond Crown,Julius Caesar,Unknown,Light blue band with classical portrait. (Duplicate),CHECK,diamond-crown-julius-caeser-hail-caesar
band-162348a9350a.jpg,auto-match,0.98,a-j-fernandez-new-world,A.J. Fernandez,New World,New World,,A.J. Fernandez,New World,Unknown,Detailed historical scene band with NEW WORLD,prior-agrees,a-j-fernandez-new-world
band-1715f075f560.jpg,auto-match,0.99,my-father-le-bijou-1922-100-anos,My Father,Le Bijou 1922 100 Anos,My Father,Le Bijou 1922,My Father,Le Bijou 1922,Unknown,Pink/gold ornate band with MY FATHER,prior-agrees,my-father-le-bijou-1922-100-anos
band-1729a2560fb9.jpg,auto-match,0.99,liga-privada-unico-l40-lancero,Drew Estate,Liga Privada Unico L40 Lancero,Drew Estate,L40,Liga Privada,L40 / Unico,Unknown,White band with L40,CHECK,liga-privada-unico-l40-lancero
band-1745a224eb81.jpg,ambiguous,0.513,dias-de-gloria-brazil,A.J. Fernandez,Brazil,Not a cigar band,,Espinosa,Coleccion Esmeralda 15 Year,Unknown,Green band with COLECCION ESMERALDA,CHECK,dias-de-gloria-brazil
band-17d891116a83.jpg,auto-match,0.99,tatuaje-corojo,Tatuaje,Corojo,Tatuaje,Corojo,Tatuaje,Corojo,Unknown,White band with blue/green/red stripes TATUAJE + red Corojo band. (Duplicate),prior-agrees,tatuaje-corojo
band-17ed148f4072.jpg,auto-match,0.99,my-father-blue,My Father,Blue,My Father,Blue,My Father,Blue MMXXV,Unknown,Light blue/gold band with MY FATHER,prior-agrees,my-father-blue
band-17f741cb3d7a.jpg,auto-match,0.99,tatuaje-cabaiguan,Tatuaje,Cabaiguan,Tatuaje,Cabaiguan,Tatuaje,Cabaiguan,Unknown,Orange/gold band with C logo,prior-agrees,tatuaje-cabaiguan
band-18f387286e85.jpg,auto-match,0.891,crux-epicure-habano,Crux,Epicure Habano,CRUX,EPICURE,Crux,Epicure,Unknown,Teal/gold band with winged horse (pegasus) logo,prior-agrees,crux-epicure-habano
band-1928da611b3c.jpg,ambiguous,0.757,plasencia-reserva-original-organica-nesticos,Plasencia,Reserva Original,PLASENCIA,RESERVA ORIGINAL,Plasencia,Reserva Original,Unknown,Gold/white band with PLASENCIA,prior-agrees,plasencia-reserva-original-organica-nesticos
band-1968e093cc16.jpg,auto-match,0.98,mayflower-dusk-toro,Mayflower,Dusk,MAYFLOWER,,Mayflower,Core,Unknown,Dark band with white flower logo,prior-agrees,mayflower-dusk-toro
band-198d11c02972.jpg,auto-match,0.99,cohiba-red-dot-corona,Cohiba,Red Dot,COHIBA,RED DOT,Cohiba,Red Dot,Unknown,Red bands with COHIBA RED DOT.,prior-agrees,cohiba-red-dot-corona
band-19aab4dd6964.jpg,auto-match,0.99,plasencia-alma-fuerte,Plasencia,Alma Fuerte,Plasencia,Alma Fuerte,Plasencia,Alma Fuerte,Unknown,Green/gold band with P logo,prior-agrees,plasencia-alma-fuerte
band-19f97425f1d8.jpg,auto-match,0.98,arturo-fuente-fuente-opus-x-forbidden-x-taa,Arturo Fuente,Fuente Opus X Forbidden X TAA,Arturo Fuente,,A.J. Fernandez,Handwritten / Core,Unknown,Simple handwritten A.J. Fernandez on the band.,CHECK,arturo-fuente-fuente-opus-x-forbidden-x-taa
band-1a7d83a8fafe.jpg,low-confidence,0.426,g-a-r-by-george-rico,G.A.R.,By George Rico,Image is too blurry to identify text on the band.,,Unknown,Artistic / Limited,Unknown,Black/silver abstract/distressed artistic band design.,CHECK,g-a-r-by-george-rico
band-1a9dc1722f94.jpg,ambiguous,0.756,ave-maria-argentum,Ave Maria,Argentum,AVE MARIA,IMMECULATA,,,,,,ave-maria-argentum
band-1b049ef80898.jpg,auto-match,0.98,lfd-suave-grand-maduro-no-6,La Flor Dominicana,Suave Grand Maduro No. 6,LA FLOR DOMINICANA,LFD,,,,,,lfd-suave-grand-maduro-no-6
band-1c0c76526427.jpg,auto-match,0.99,byron-reserva-3-anos,Byron,Reserva 3 Años,MYRON,RESERVA 3 ANOS,,,,,,byron-reserva-3-anos
band-1dcbd00cf7aa.jpg,auto-match,0.99,plasencia-alma-del-fuego,Plasencia,Alma del Fuego,PLASENCIA,ALMA DEL FUEGO,,,,,,plasencia-alma-del-fuego
band-1e91fd6d61f2.jpg,auto-match,0.99,padron-1964-anni-belicoso,Padrón,1964 Anni.,Padrón,1964 Anniversary Series,,,,,,padron-1964-anni-belicoso
band-1f926bc35130.jpg,auto-match,0.99,flor-de-oliva-maduro,Flor de Oliva,Maduro,Flor de Oliva,Maduro,,,,,,flor-de-oliva-maduro
band-1f93e72ef918.jpg,auto-match,0.99,byron-reserva-5-anos,Byron,Reserva 5 Años,BYRON,RESERVA 5 AÑOS,,,,,,byron-reserva-5-anos
band-1fe41eaa3482.jpg,auto-match,0.904,quorum-corona,Quorum,Corona,QUORUM,,,,,,,quorum-corona
band-209a18c58393.jpg,auto-match,0.99,e-p-carrillo-carrillo-la-historia-el-senador,E.P. Carrillo,Carrillo La Historia El Senador,E.P. Carrillo,La Historia,,,,,,e-p-carrillo-carrillo-la-historia-el-senador
band-2257545f9bb8.jpg,auto-match,0.99,arturo-fuente-god-of-fire-serie-aniversario,Arturo Fuente,God of Fire Serie Aniversario,God of Fire,Aniversario,,,,,,arturo-fuente-god-of-fire-serie-aniversario
band-2278197eb3f3.jpg,auto-match,0.99,plasencia-alma-del-campo-madrono-gordo,Plasencia,Alma Del Campo Madrono – Gordo,PLASENCIA,ALMA DEL CAMPO,,,,,,plasencia-alma-del-campo-madrono-gordo
band-229300ced0fe.jpg,ambiguous,0.751,fonseca-arana,Fonseca,Arana,Alfonso,Produccion Limitada,,,,,,fonseca-arana
band-22a137200144.jpg,ambiguous,0.823,dunbarton-tobacco-trust-stillwell-star,Dunbarton Tobacco & Trust,Stillwell Star,Bayou No. 32,Stillwell,,,,,,dunbarton-tobacco-trust-stillwell-star
band-22e6d72ab45b.jpg,auto-match,0.99,cao-surplus-sweet-gigante,CAO,Surplus Sweet,CAO,Surplus Sweet,,,,,,cao-surplus-sweet-gigante
band-23102cbfa001.jpg,auto-match,0.98,micallef-cigars-herencia,Micallef,Herencia,MICALLEF,,,,,,,micallef-cigars-herencia
band-24234152e969.jpg,auto-match,0.99,plasencia-alma-del-cielo,Plasencia,Alma del Cielo,PLASENCIA,ALMA DEL CIELO,,,,,,plasencia-alma-del-cielo
band-24f7d71a25a2.jpg,auto-match,0.948,atabey,Atabey,,ATABEY,,,,,,,atabey
